Id,RealSalePrice
1,208500.0
2,181500.0
3,223500.0
4,140000.0
5,250000.0
6,143000.0
7,307000.0
8,200000.0
9,129900.0
10,118000.0
11,129500.0
12,345000.0
13,144000.0
14,279500.0
15,157000.0
16,132000.0
17,149000.0
18,
19,159000.0
20,139000.0
21,325300.0
22,139400.0
23,230000.0
24,129900.0
25,154000.0
26,256300.0
27,134800.0
28,306000.0
29,207500.0
30,68500.0
31,40000.0
32,149350.0
33,179900.0
34,165500.0
35,277500.0
36,309000.0
37,145000.0
38,153000.0
39,109000.0
40,
41,160000.0
42,170000.0
43,144000.0
44,130250.0
45,141000.0
46,319900.0
47,239686.0
48,249700.0
49,113000.0
50,127000.0
51,177000.0
52,114500.0
53,110000.0
54,385000.0
55,130000.0
56,180500.0
57,172500.0
58,196500.0
59,438780.0
60,124900.0
61,158000.0
62,101000.0
63,202500.0
64,140000.0
65,219500.0
66,317000.0
67,180000.0
68,226000.0
69,80000.0
70,225000.0
71,244000.0
72,129500.0
73,185000.0
74,144900.0
75,107400.0
76,91000.0
77,135750.0
78,127000.0
79,136500.0
80,110000.0
81,193500.0
82,153500.0
83,245000.0
84,126500.0
85,168500.0
86,260000.0
87,174000.0
88,164500.0
89,85000.0
90,123600.0
91,
92,98600.0
93,163500.0
94,133900.0
95,204750.0
96,185000.0
97,214000.0
98,94750.0
99,83000.0
100,128950.0
101,205000.0
102,178000.0
103,
104,198900.0
105,169500.0
106,250000.0
107,100000.0
108,115000.0
109,115000.0
110,190000.0
111,136900.0
112,180000.0
113,383970.0
114,217000.0
115,259500.0
116,176000.0
117,139000.0
118,155000.0
119,320000.0
120,163990.0
121,180000.0
122,100000.0
123,136000.0
124,153900.0
125,181000.0
126,84500.0
127,128000.0
128,87000.0
129,155000.0
130,150000.0
131,226000.0
132,244000.0
133,150750.0
134,220000.0
135,180000.0
136,174000.0
137,143000.0
138,171000.0
139,230000.0
140,231500.0
141,115000.0
142,260000.0
143,166000.0
144,204000.0
145,125000.0
146,130000.0
147,105000.0
148,222500.0
149,141000.0
150,115000.0
151,122000.0
152,372402.0
153,190000.0
154,235000.0
155,125000.0
156,79000.0
157,
158,269500.0
159,254900.0
160,320000.0
161,162500.0
162,412500.0
163,220000.0
164,103200.0
165,152000.0
166,127500.0
167,190000.0
168,325624.0
169,183500.0
170,228000.0
171,128500.0
172,215000.0
173,239000.0
174,163000.0
175,184000.0
176,243000.0
177,211000.0
178,172500.0
179,501837.0
180,100000.0
181,177000.0
182,200100.0
183,
184,200000.0
185,127000.0
186,475000.0
187,173000.0
188,135000.0
189,153337.0
190,286000.0
191,315000.0
192,184000.0
193,192000.0
194,
195,127000.0
196,148500.0
197,311872.0
198,235000.0
199,104000.0
200,274900.0
201,140000.0
202,171500.0
203,112000.0
204,149000.0
205,110000.0
206,180500.0
207,143900.0
208,141000.0
209,277000.0
210,145000.0
211,98000.0
212,186000.0
213,252678.0
214,156000.0
215,161750.0
216,134450.0
217,210000.0
218,107000.0
219,311500.0
220,167240.0
221,204900.0
222,200000.0
223,179900.0
224,97000.0
225,386250.0
226,112000.0
227,290000.0
228,106000.0
229,125000.0
230,192500.0
231,148000.0
232,403000.0
233,94500.0
234,128200.0
235,216500.0
236,89500.0
237,185500.0
238,194500.0
239,318000.0
240,113000.0
241,262500.0
242,110500.0
243,79000.0
244,120000.0
245,205000.0
246,241500.0
247,137000.0
248,140000.0
249,180000.0
250,277000.0
251,76500.0
252,235000.0
253,173000.0
254,158000.0
255,145000.0
256,230000.0
257,207500.0
258,220000.0
259,231500.0
260,
261,176000.0
262,276000.0
263,151000.0
264,130000.0
265,73000.0
266,175500.0
267,185000.0
268,179500.0
269,120500.0
270,148000.0
271,266000.0
272,241500.0
273,290000.0
274,139000.0
275,124500.0
276,205000.0
277,201000.0
278,141000.0
279,415298.0
280,192000.0
281,228500.0
282,185000.0
283,207500.0
284,244600.0
285,179200.0
286,164700.0
287,159000.0
288,88000.0
289,122000.0
290,153575.0
291,233230.0
292,135900.0
293,131000.0
294,235000.0
295,167000.0
296,142500.0
297,152000.0
298,239000.0
299,175000.0
300,158500.0
301,157000.0
302,267000.0
303,205000.0
304,149900.0
305,295000.0
306,305900.0
307,225000.0
308,89500.0
309,82500.0
310,360000.0
311,165600.0
312,132000.0
313,119900.0
314,375000.0
315,178000.0
316,188500.0
317,260000.0
318,270000.0
319,260000.0
320,187500.0
321,342643.0
322,354000.0
323,301000.0
324,126175.0
325,242000.0
326,87000.0
327,324000.0
328,145250.0
329,214500.0
330,78000.0
331,119000.0
332,139000.0
333,284000.0
334,207000.0
335,192000.0
336,228950.0
337,377426.0
338,214000.0
339,202500.0
340,155000.0
341,202900.0
342,82000.0
343,
344,266000.0
345,85000.0
346,140200.0
347,151500.0
348,157500.0
349,154000.0
350,437154.0
351,318061.0
352,190000.0
353,95000.0
354,105900.0
355,140000.0
356,177500.0
357,173000.0
358,134000.0
359,130000.0
360,280000.0
361,156000.0
362,145000.0
363,
364,118000.0
365,190000.0
366,147000.0
367,159000.0
368,165000.0
369,132000.0
370,162000.0
371,172400.0
372,
373,125000.0
374,123000.0
375,219500.0
376,61000.0
377,148000.0
378,340000.0
379,394432.0
380,179000.0
381,127000.0
382,187750.0
383,213500.0
384,76000.0
385,240000.0
386,192000.0
387,81000.0
388,125000.0
389,191000.0
390,426000.0
391,119000.0
392,215000.0
393,
394,100000.0
395,109000.0
396,129000.0
397,123000.0
398,169500.0
399,67000.0
400,241000.0
401,245500.0
402,164990.0
403,108000.0
404,258000.0
405,168000.0
406,150000.0
407,115000.0
408,177000.0
409,280000.0
410,339750.0
411,60000.0
412,145000.0
413,222000.0
414,115000.0
415,228000.0
416,181134.0
417,149500.0
418,239000.0
419,126000.0
420,142000.0
421,206300.0
422,215000.0
423,113000.0
424,315000.0
425,139000.0
426,135000.0
427,275000.0
428,109008.0
429,195400.0
430,175000.0
431,85400.0
432,79900.0
433,122500.0
434,181000.0
435,81000.0
436,212000.0
437,116000.0
438,119000.0
439,90350.0
440,110000.0
441,555000.0
442,118000.0
443,162900.0
444,172500.0
445,210000.0
446,127500.0
447,190000.0
448,199900.0
449,119500.0
450,120000.0
451,110000.0
452,280000.0
453,204000.0
454,210000.0
455,188000.0
456,175500.0
457,98000.0
458,256000.0
459,161000.0
460,110000.0
461,263435.0
462,155000.0
463,62383.0
464,188700.0
465,124000.0
466,178740.0
467,167000.0
468,146500.0
469,250000.0
470,187000.0
471,212000.0
472,190000.0
473,148000.0
474,440000.0
475,251000.0
476,132500.0
477,208900.0
478,380000.0
479,297000.0
480,89471.0
481,326000.0
482,374000.0
483,155000.0
484,164000.0
485,132500.0
486,147000.0
487,156000.0
488,175000.0
489,160000.0
490,86000.0
491,115000.0
492,133000.0
493,172785.0
494,155000.0
495,91300.0
496,34900.0
497,430000.0
498,184000.0
499,130000.0
500,120000.0
501,113000.0
502,226700.0
503,140000.0
504,289000.0
505,147000.0
506,124500.0
507,215000.0
508,208300.0
509,161000.0
510,124500.0
511,164900.0
512,202665.0
513,129900.0
514,134000.0
515,96500.0
516,402861.0
517,158000.0
518,265000.0
519,211000.0
520,234000.0
521,
522,150000.0
523,159000.0
524,184750.0
525,315750.0
